,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
55767,22000254,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,36:22,9.0,13.0,0.6920000000000001,0.0,2.0,0.0,9.0,15.0,0.6,3.0,11.0,14.0,8.0,0.0,1.0,5.0,4.0,27.0,12.0
56309,22000226,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:03,11.0,17.0,0.647,1.0,3.0,0.3329999999999999,2.0,4.0,0.5,1.0,11.0,12.0,3.0,0.0,1.0,9.0,6.0,25.0,-6.0
56780,22000209,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,39:48,13.0,26.0,0.5,2.0,6.0,0.3329999999999999,6.0,8.0,0.75,1.0,11.0,12.0,7.0,2.0,0.0,1.0,1.0,34.0,-12.0
57268,22000182,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,30:11,14.0,21.0,0.667,2.0,5.0,0.4,1.0,10.0,0.1,3.0,6.0,9.0,1.0,0.0,1.0,5.0,4.0,31.0,1.0
57542,22000165,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,33:28,7.0,15.0,0.467,2.0,5.0,0.4,6.0,10.0,0.6,2.0,8.0,10.0,10.0,2.0,3.0,5.0,3.0,22.0,12.0
57905,22000151,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,27:17,8.0,16.0,0.5,2.0,4.0,0.5,4.0,7.0,0.5710000000000001,0.0,6.0,6.0,4.0,1.0,2.0,4.0,5.0,22.0,4.0
58621,22000129,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,32:41,14.0,25.0,0.56,2.0,5.0,0.4,5.0,7.0,0.7140000000000001,1.0,7.0,8.0,4.0,0.0,1.0,2.0,2.0,35.0,-5.0
59019,22000113,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,28:28,8.0,15.0,0.5329999999999999,1.0,5.0,0.2,8.0,14.0,0.5710000000000001,2.0,6.0,8.0,4.0,0.0,1.0,5.0,4.0,25.0,24.0
59452,22000099,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,36:04,17.0,24.0,0.708,2.0,6.0,0.3329999999999999,7.0,9.0,0.778,2.0,7.0,9.0,4.0,0.0,1.0,3.0,4.0,43.0,16.0
59950,22000058,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,38:01,10.0,18.0,0.556,2.0,6.0,0.3329999999999999,4.0,4.0,1.0,2.0,11.0,13.0,10.0,3.0,1.0,4.0,3.0,26.0,-5.0
59987,22000051,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,24:14,3.0,9.0,0.3329999999999999,0.0,2.0,0.0,3.0,5.0,0.6,0.0,6.0,6.0,6.0,3.0,0.0,2.0,2.0,9.0,23.0
